,LQ Code New,LQ Name,Density Lower Limit,Density Upper Limit,pH Lower Limit,pH Upper Limit,Spindle,Speed,Viscosity Lower Limit,Viscosity Upper Limit,Odor,Appearance,Color Lower Limit,Color Upper Limit,Clarity Lower Limit,Clarity Upper Limit,Liquid Item Status,Solids Lower Limit,Solids Upper Limit,FH First Reading Lower Limit,FH First Reading Upper Limit,FH Second Reading Lower Limit,FH Second Reading Upper Limit,Assumed Density (lb/gal),Comments,Density Ref Only,RAC LSL,RAC USL,RYM LSL,RYM USL,PATH LSL,PATH USL,Viscosity Data Collection Setting,Viscosity Averaging Time (min),End Condition (min),F36,F37,F38,F39,ReviewedDate,ReviewedBy
274,LQSP-CMSP,LQ Spa Lavish Comfort Cologne,8.13,8.45,2.0,4.5,N/A,N/A,,,Fruity,Water Thin,N/A,Green,Clear,Hazy,F,2.66,4.00,N/A,N/A,N/A,N/A,8.3,,,0.0,100.0,0.0,10.0,0.0,10.0,single point avg,1.0,2.0,,,,,,
275,LQSP-CWDTDG,LQ Chew Deterrent Dog Spray,8.0958,8.3958,3.5,4.2,N/a,N/a,,,"Spicy, Floral",Water Thin,Orange,Orange,Clear,Clear,L,,,N/a,N/a,N/a,N/a,8.2458,Ref. ARD-002-124,,,,,,,,,,,,,,,,
276,LQSP-CWDTHM,LQ Chew Deterrent Home Spray,8.0955,8.3955,3.5,4.2,N/a,N/a,,,"Spicy, Floral",Water Thin,Orange,Orange,Clear,Clear,L,,,N/a,N/a,N/a,N/a,8.2455,Ref. CK-009-078,,,,,,,,,,,,,,,,
277,LQSP-CWDTPP,LQ Puppy Chew Deterrent,8.1904,8.4904,3.5,4.5,,,,,"Herbal, Pepper",Water Thin,Orange,Orange,Clear,Clear,L,1,1.9,,,,,8.3404,,,,,,,,,,,,,,,,,
278,LQSP-EBE,TropiClean Berry Deodorizing Spray,8.2091,8.5061,6.0,8.0,,,,,Sweet Berry,Water Thin,Clear,Light Blue,Clear,Hazy,L,1.77,2.77,,,,,8.3591,,8.3591,0.0,100.0,0.0,10.0,0.0,10.0,,,,,,,,,
279,LQSP-EBF,TropiClean Baby Fresh Deodorizing Spray,8.168,8.468,6.0,8.0,,,,,Baby Powder,Water Thin,Clear,Light Blue,Clear,Haxy,L,1.56,2.56,,,,,8.318,,8.318,0.0,100.0,0.0,10.0,0.0,10.0,,,,,,,,,
280,LQSP-EBP,Endurascent Blackberry Pear Deo SP,7.8868,8.717,5.5,8.5,N/A,N/A,,,Fruity,Water-Thin Liquid,Colorless,Yellow,Clear,Hazy,L,2.776,4.164,N/A,N/A,N/A,N/A,8.3019,Reference: SH-003-056,8.3019,0.0,100.0,0.0,10.0,0.0,10.0,single point avg,1.0,2.0,,,,,,
281,LQSP-EMW,LQ TC Endurascent Mango Kiwi Spray,7.904,8.736,5.5,8.0,,,,,Fruity,Water-Thin Liquid,Colorless,Yellow,Clear,Slightly Hazy,L,2.31,3.47,,,,,8.3203,NB Ref: SH-002-132,,0.0,100.0,0.0,10.0,0.0,10.0,,,,,,,,,
282,LQSP-EPI,LQ TC Endurascent Pineapple Spray,7.9014,8.7331,5.5,8.0,,,,,Fruity,Water-Thin Liquid,Colorless,Yellow,Clear,Hazy,L,2.24,3.36,,,,,8.3173,NB Ref: SH-002-133,,0.0,100.0,0.0,10.0,0.0,10.0,,,,,,,,,
283,LQSP-EPY,TropiClean Papaya and Coconut Deodorizing Spray,8.2366,8.5366,6.0,8.0,,,,,Fruity,Water Thin,Clear,Light Blue,Clear,Haxy,L,2.28,3.28,,,,,8.3866,,8.3866,0.0,100.0,0.0,10.0,0.0,10.0,,,,,,,,,
